filename,year,doy,profile_idx,profile_num,date,index
RCA_sb_sp_temperature_2018_020_5189_7_V1.nc,2018,20,5189,7,2018-01-20,161
RCA_sb_sp_temperature_2018_020_5190_8_V1.nc,2018,20,5190,8,2018-01-20,162
RCA_sb_sp_temperature_2018_020_5191_9_V1.nc,2018,20,5191,9,2018-01-20,163
RCA_sb_sp_temperature_2018_021_5192_1_V1.nc,2018,21,5192,1,2018-01-21,164
RCA_sb_sp_temperature_2018_021_5193_2_V1.nc,2018,21,5193,2,2018-01-21,165
RCA_sb_sp_temperature_2018_021_5194_3_V1.nc,2018,21,5194,3,2018-01-21,166
RCA_sb_sp_temperature_2018_021_5195_4_V1.nc,2018,21,5195,4,2018-01-21,167
RCA_sb_sp_temperature_2018_021_5196_5_V1.nc,2018,21,5196,5,2018-01-21,168
RCA_sb_sp_temperature_2018_021_5197_6_V1.nc,2018,21,5197,6,2018-01-21,169
RCA_sb_sp_temperature_2018_021_5198_7_V1.nc,2018,21,5198,7,2018-01-21,170
RCA_sb_sp_temperature_2018_021_5199_8_V1.nc,2018,21,5199,8,2018-01-21,171
RCA_sb_sp_temperature_2018_021_5200_9_V1.nc,2018,21,5200,9,2018-01-21,172
RCA_sb_sp_temperature_2018_022_5201_1_V1.nc,2018,22,5201,1,2018-01-22,173
RCA_sb_sp_temperature_2018_022_5202_2_V1.nc,2018,22,5202,2,2018-01-22,174
RCA_sb_sp_temperature_2018_022_5203_3_V1.nc,2018,22,5203,3,2018-01-22,175
RCA_sb_sp_temperature_2018_022_5204_4_V1.nc,2018,22,5204,4,2018-01-22,176
RCA_sb_sp_temperature_2018_022_5205_5_V1.nc,2018,22,5205,5,2018-01-22,177
RCA_sb_sp_temperature_2018_022_5206_6_V1.nc,2018,22,5206,6,2018-01-22,178
RCA_sb_sp_temperature_2018_022_5207_7_V1.nc,2018,22,5207,7,2018-01-22,179
RCA_sb_sp_temperature_2018_022_5208_8_V1.nc,2018,22,5208,8,2018-01-22,180
RCA_sb_sp_temperature_2018_022_5209_9_V1.nc,2018,22,5209,9,2018-01-22,181
RCA_sb_sp_temperature_2018_023_5210_1_V1.nc,2018,23,5210,1,2018-01-23,182
RCA_sb_sp_temperature_2018_023_5211_2_V1.nc,2018,23,5211,2,2018-01-23,183
RCA_sb_sp_temperature_2018_023_5212_3_V1.nc,2018,23,5212,3,2018-01-23,184
RCA_sb_sp_temperature_2018_023_5213_4_V1.nc,2018,23,5213,4,2018-01-23,185
RCA_sb_sp_temperature_2018_023_5214_5_V1.nc,2018,23,5214,5,2018-01-23,186
RCA_sb_sp_temperature_2018_023_5215_6_V1.nc,2018,23,5215,6,2018-01-23,187
RCA_sb_sp_temperature_2018_023_5216_7_V1.nc,2018,23,5216,7,2018-01-23,188
RCA_sb_sp_temperature_2018_023_5217_8_V1.nc,2018,23,5217,8,2018-01-23,189
RCA_sb_sp_temperature_2018_023_5218_9_V1.nc,2018,23,5218,9,2018-01-23,190
RCA_sb_sp_temperature_2018_024_5219_1_V1.nc,2018,24,5219,1,2018-01-24,191
RCA_sb_sp_temperature_2018_024_5220_2_V1.nc,2018,24,5220,2,2018-01-24,192
RCA_sb_sp_temperature_2018_024_5221_3_V1.nc,2018,24,5221,3,2018-01-24,193
RCA_sb_sp_temperature_2018_024_5222_4_V1.nc,2018,24,5222,4,2018-01-24,194
RCA_sb_sp_temperature_2018_024_5223_5_V1.nc,2018,24,5223,5,2018-01-24,195
RCA_sb_sp_temperature_2018_024_5224_6_V1.nc,2018,24,5224,6,2018-01-24,196
RCA_sb_sp_temperature_2018_024_5225_7_V1.nc,2018,24,5225,7,2018-01-24,197
RCA_sb_sp_temperature_2018_024_5226_8_V1.nc,2018,24,5226,8,2018-01-24,198
RCA_sb_sp_temperature_2018_024_5227_9_V1.nc,2018,24,5227,9,2018-01-24,199
RCA_sb_sp_temperature_2018_025_5228_1_V1.nc,2018,25,5228,1,2018-01-25,200
RCA_sb_sp_temperature_2018_025_5229_2_V1.nc,2018,25,5229,2,2018-01-25,201
RCA_sb_sp_temperature_2018_025_5230_3_V1.nc,2018,25,5230,3,2018-01-25,202
RCA_sb_sp_temperature_2018_025_5231_4_V1.nc,2018,25,5231,4,2018-01-25,203
RCA_sb_sp_temperature_2018_025_5232_5_V1.nc,2018,25,5232,5,2018-01-25,204
RCA_sb_sp_temperature_2018_025_5233_6_V1.nc,2018,25,5233,6,2018-01-25,205
RCA_sb_sp_temperature_2018_026_5234_1_V1.nc,2018,26,5234,1,2018-01-26,206
RCA_sb_sp_temperature_2018_026_5235_2_V1.nc,2018,26,5235,2,2018-01-26,207
RCA_sb_sp_temperature_2018_026_5236_3_V1.nc,2018,26,5236,3,2018-01-26,208
RCA_sb_sp_temperature_2018_026_5237_4_V1.nc,2018,26,5237,4,2018-01-26,209
RCA_sb_sp_temperature_2018_026_5238_5_V1.nc,2018,26,5238,5,2018-01-26,210
RCA_sb_sp_temperature_2018_026_5239_6_V1.nc,2018,26,5239,6,2018-01-26,211
RCA_sb_sp_temperature_2018_026_5240_7_V1.nc,2018,26,5240,7,2018-01-26,212
RCA_sb_sp_temperature_2018_026_5241_8_V1.nc,2018,26,5241,8,2018-01-26,213
RCA_sb_sp_temperature_2018_026_5242_9_V1.nc,2018,26,5242,9,2018-01-26,214
RCA_sb_sp_temperature_2018_027_5243_1_V1.nc,2018,27,5243,1,2018-01-27,215
RCA_sb_sp_temperature_2018_027_5244_2_V1.nc,2018,27,5244,2,2018-01-27,216
RCA_sb_sp_temperature_2018_027_5245_3_V1.nc,2018,27,5245,3,2018-01-27,217
RCA_sb_sp_temperature_2018_027_5246_4_V1.nc,2018,27,5246,4,2018-01-27,218
RCA_sb_sp_temperature_2018_027_5247_5_V1.nc,2018,27,5247,5,2018-01-27,219
RCA_sb_sp_temperature_2018_027_5248_6_V1.nc,2018,27,5248,6,2018-01-27,220
RCA_sb_sp_temperature_2018_027_5249_7_V1.nc,2018,27,5249,7,2018-01-27,221
RCA_sb_sp_temperature_2018_027_5250_8_V1.nc,2018,27,5250,8,2018-01-27,222
RCA_sb_sp_temperature_2018_027_5251_9_V1.nc,2018,27,5251,9,2018-01-27,223
RCA_sb_sp_temperature_2018_028_5252_1_V1.nc,2018,28,5252,1,2018-01-28,224
RCA_sb_sp_temperature_2018_028_5253_2_V1.nc,2018,28,5253,2,2018-01-28,225
RCA_sb_sp_temperature_2018_028_5254_3_V1.nc,2018,28,5254,3,2018-01-28,226
RCA_sb_sp_temperature_2018_028_5255_4_V1.nc,2018,28,5255,4,2018-01-28,227
RCA_sb_sp_temperature_2018_028_5256_5_V1.nc,2018,28,5256,5,2018-01-28,228
RCA_sb_sp_temperature_2018_028_5257_6_V1.nc,2018,28,5257,6,2018-01-28,229
RCA_sb_sp_temperature_2018_028_5258_7_V1.nc,2018,28,5258,7,2018-01-28,230
RCA_sb_sp_temperature_2018_028_5259_8_V1.nc,2018,28,5259,8,2018-01-28,231
RCA_sb_sp_temperature_2018_028_5260_9_V1.nc,2018,28,5260,9,2018-01-28,232
