#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 05 22 50 183 13.2 16.8  4.88 17.39  9.05  78  998.0  11.2  11.4 999.0 99.0 99.00
2016 01 05 23 50 199 11.9 14.5  4.86 17.39  8.89 281  998.6  11.7  11.4 999.0 99.0 99.00
2016 01 06 00 50 222 11.3 13.6  5.10 17.39  8.95 125  998.9   9.7  11.4 999.0 99.0 99.00
2016 01 06 01 50 186 12.2 15.0  4.57 17.39  8.44 305  998.6  11.7  11.5 999.0 99.0 99.00
2016 01 06 02 50 199 11.9 14.2  5.51 17.39  9.35 300  998.9  11.7  11.5 999.0 99.0 99.00
2016 01 06 03 50 182 12.5 15.5  4.99 17.39  9.04 118  998.7  11.8  11.5 999.0 99.0 99.00
2016 01 06 04 50 175 13.2 16.8  5.47 17.39  9.27  92  998.4  11.5  11.5 999.0 99.0 99.00
2016 01 06 05 50 175 13.9 17.8  5.59 17.39  8.97  94  998.6  11.5  11.5 999.0 99.0 99.00
2016 01 06 06 50 176 13.2 15.9  5.53 17.39  8.60  91  998.4  11.5  11.5 999.0 99.0 99.00
2016 01 06 07 50 174 14.0 16.9  5.50 16.00  8.39  84  998.1  11.7  11.4 999.0 99.0 99.00
2016 01 06 08 50 168 13.6 16.5  5.44 17.39  8.66  83  997.4  11.8  11.5 999.0 99.0 99.00
2016 01 06 09 50 173 13.5 16.3  5.23 16.00  8.63  82  997.0  11.9  11.4 999.0 99.0 99.00
2016 01 06 10 50 177 13.5 17.3  5.54 16.00  8.99  78  997.0  11.7  11.4 999.0 99.0 99.00
2016 01 06 11 50 174 14.9 18.4  5.72 16.00  9.17  77  996.6  11.5  11.3 999.0 99.0 99.00
2016 01 06 13 50 182 12.0 14.5  5.37 16.00  8.38  99  996.5  10.7  11.5 999.0 99.0 99.00
2016 01 06 14 50 162 15.4 18.3  4.79 16.00  8.13  87  996.4  10.4  11.5 999.0 99.0 99.00
2016 01 06 15 50 191 13.0 15.9  5.10 16.00  8.16  87  997.1  10.1  11.5 999.0 99.0 99.00
2016 01 06 16 50 172 12.2 16.7  5.18 14.81  8.50 286  997.6  10.2  11.5 999.0 99.0 99.00
2016 01 06 17 50 177 13.6 16.3  4.89 14.81  7.93  88  998.0  10.6  11.5 999.0 99.0 99.00
2016 01 06 18 50 184 14.3 16.8  4.86 14.81  7.89  93  998.5  10.8  11.4 999.0 99.0 99.00
2016 01 06 19 50 187 12.2 14.8  4.80 14.81  7.90 113  998.8  11.0  11.4 999.0 99.0 99.00
2016 01 06 20 50 185 12.2 14.9 99.00 99.00 99.00 999  998.9  10.8  11.3 999.0 99.0 99.00
2016 01 06 21 50 184 11.3 13.5  4.48 14.81  8.13 270  999.2  10.8  11.2 999.0 99.0 99.00
2016 01 06 22 50 199  9.7 11.3  4.13 14.81  7.98 267  999.7   9.5  11.5 999.0 99.0 99.00
2016 01 06 23 50 181  9.1 11.2  4.09 14.81  8.75 285 1000.7   9.0  11.5 999.0 99.0 99.00
2016 01 07 00 50 167  8.0 11.2  3.87 13.79  8.18 274 1001.2   9.5  11.5 999.0 99.0 99.00
2016 01 07 01 50 192  7.0  8.8  3.97 14.81  8.98 271 1002.1   9.5  11.5 999.0 99.0 99.00
