year,doy,profile_idx,profile_num,date,index
2016,46,1033,7,2016-02-15,373
2016,46,1034,8,2016-02-15,374
2016,46,1035,9,2016-02-15,375
2016,47,1036,1,2016-02-16,376
2016,47,1037,2,2016-02-16,377
2016,47,1038,3,2016-02-16,378
2016,47,1039,4,2016-02-16,379
2016,47,1040,5,2016-02-16,380
2016,47,1041,6,2016-02-16,381
2016,47,1042,7,2016-02-16,382
2016,47,1043,8,2016-02-16,383
2016,47,1044,9,2016-02-16,384
2016,48,1045,1,2016-02-17,385
2016,48,1046,2,2016-02-17,386
2016,48,1047,3,2016-02-17,387
2016,48,1048,4,2016-02-17,388
2016,48,1049,5,2016-02-17,389
2016,48,1050,6,2016-02-17,390
2016,48,1051,7,2016-02-17,391
2016,48,1052,8,2016-02-17,392
2016,48,1053,9,2016-02-17,393
2016,49,1054,1,2016-02-18,394
2016,49,1055,2,2016-02-18,395
2016,49,1056,3,2016-02-18,396
2016,49,1057,4,2016-02-18,397
2016,49,1058,5,2016-02-18,398
2016,49,1059,6,2016-02-18,399
2016,49,1060,7,2016-02-18,400
2016,49,1061,8,2016-02-18,401
2016,49,1062,9,2016-02-18,402
2016,50,1063,1,2016-02-19,403
2016,50,1064,2,2016-02-19,404
2016,50,1065,3,2016-02-19,405
2016,50,1066,4,2016-02-19,406
2016,50,1067,5,2016-02-19,407
2016,50,1068,6,2016-02-19,408
2016,50,1069,7,2016-02-19,409
2016,50,1070,8,2016-02-19,410
2016,50,1071,9,2016-02-19,411
2016,51,1072,1,2016-02-20,412
2016,51,1073,2,2016-02-20,413
2016,51,1074,3,2016-02-20,414
2016,51,1075,4,2016-02-20,415
2016,51,1076,5,2016-02-20,416
2016,51,1077,6,2016-02-20,417
2016,51,1078,7,2016-02-20,418
2016,51,1079,8,2016-02-20,419
2016,51,1080,9,2016-02-20,420
2016,52,1081,1,2016-02-21,421
2016,52,1082,2,2016-02-21,422
2016,52,1083,3,2016-02-21,423
2016,52,1084,4,2016-02-21,424
2016,52,1085,5,2016-02-21,425
2016,52,1086,6,2016-02-21,426
2016,52,1087,7,2016-02-21,427
2016,52,1088,8,2016-02-21,428
2016,52,1089,9,2016-02-21,429
2016,53,1090,1,2016-02-22,430
2016,53,1091,2,2016-02-22,431
2016,53,1092,3,2016-02-22,432
2016,53,1093,4,2016-02-22,433
2016,53,1094,5,2016-02-22,434
2016,53,1095,6,2016-02-22,435
2016,53,1096,7,2016-02-22,436
2016,53,1097,8,2016-02-22,437
2016,53,1098,9,2016-02-22,438
2016,54,1099,1,2016-02-23,439
2016,54,1100,2,2016-02-23,440
2016,54,1101,3,2016-02-23,441
2016,54,1102,4,2016-02-23,442
2016,54,1103,5,2016-02-23,443
2016,54,1104,6,2016-02-23,444
2016,54,1105,7,2016-02-23,445
2016,54,1106,8,2016-02-23,446
2016,54,1107,9,2016-02-23,447
2016,55,1108,1,2016-02-24,448
2016,55,1109,2,2016-02-24,449
2016,55,1110,3,2016-02-24,450
2016,55,1111,4,2016-02-24,451
2016,55,1112,5,2016-02-24,452
2016,55,1113,6,2016-02-24,453
2016,55,1114,7,2016-02-24,454
2016,55,1115,8,2016-02-24,455
2016,55,1116,9,2016-02-24,456
2016,56,1117,1,2016-02-25,457
2016,56,1118,2,2016-02-25,458
2016,56,1119,3,2016-02-25,459
2016,56,1120,4,2016-02-25,460
2016,56,1121,5,2016-02-25,461
2016,56,1122,6,2016-02-25,462
2016,56,1123,7,2016-02-25,463
2016,56,1124,8,2016-02-25,464
2016,56,1125,9,2016-02-25,465
2016,57,1126,1,2016-02-26,466
2016,57,1127,2,2016-02-26,467
2016,57,1128,3,2016-02-26,468
2016,57,1129,4,2016-02-26,469
2016,57,1130,5,2016-02-26,470
2016,57,1131,6,2016-02-26,471
2016,57,1132,7,2016-02-26,472
2016,57,1133,8,2016-02-26,473
2016,57,1134,9,2016-02-26,474
2016,58,1135,1,2016-02-27,475
2016,58,1136,2,2016-02-27,476
2016,58,1137,3,2016-02-27,477
2016,58,1138,4,2016-02-27,478
2016,58,1139,5,2016-02-27,479
2016,58,1140,6,2016-02-27,480
2016,58,1141,7,2016-02-27,481
2016,58,1142,8,2016-02-27,482
2016,58,1143,9,2016-02-27,483
2016,59,1144,1,2016-02-28,484
2016,59,1145,2,2016-02-28,485
2016,59,1146,3,2016-02-28,486
2016,59,1147,4,2016-02-28,487
2016,59,1148,5,2016-02-28,488
2016,59,1149,6,2016-02-28,489
2016,59,1150,7,2016-02-28,490
2016,59,1151,8,2016-02-28,491
2016,59,1152,9,2016-02-28,492
2016,60,1153,1,2016-02-29,493
2016,60,1154,2,2016-02-29,494
2016,60,1155,3,2016-02-29,495
2016,60,1156,4,2016-02-29,496
2016,60,1157,5,2016-02-29,497
2016,60,1158,6,2016-02-29,498
2016,60,1159,7,2016-02-29,499
2016,60,1160,8,2016-02-29,500
2016,60,1161,9,2016-02-29,501
2016,61,1162,1,2016-03-01,502
2016,61,1163,2,2016-03-01,503
2016,61,1164,3,2016-03-01,504
2016,61,1165,4,2016-03-01,505
