year,doy,profile_idx,profile_num,date,index,cluster,month
2016,30,921,2,2016-01-30,261,0,1
2016,30,922,3,2016-01-30,262,0,1
2016,30,923,4,2016-01-30,263,0,1
2016,30,924,5,2016-01-30,264,0,1
2016,30,925,6,2016-01-30,265,0,1
2016,30,926,7,2016-01-30,266,0,1
2016,31,927,1,2016-01-31,267,0,1
2016,31,928,2,2016-01-31,268,0,1
2016,31,929,3,2016-01-31,269,0,1
2016,32,930,1,2016-02-01,270,0,2
2016,32,931,2,2016-02-01,271,0,2
2016,32,932,3,2016-02-01,272,0,2
2016,32,933,4,2016-02-01,273,0,2
2016,32,934,5,2016-02-01,274,0,2
2016,32,935,6,2016-02-01,275,0,2
2016,32,936,7,2016-02-01,276,0,2
2016,32,937,8,2016-02-01,277,0,2
2016,32,938,9,2016-02-01,278,0,2
2016,33,939,1,2016-02-02,279,0,2
2016,33,940,2,2016-02-02,280,0,2
2016,33,941,3,2016-02-02,281,0,2
2016,33,942,4,2016-02-02,282,0,2
2016,33,943,5,2016-02-02,283,0,2
2016,33,944,6,2016-02-02,284,0,2
2016,33,945,7,2016-02-02,285,0,2
2016,33,946,8,2016-02-02,286,0,2
2016,33,947,9,2016-02-02,287,0,2
2016,34,948,1,2016-02-03,288,0,2
2016,34,949,2,2016-02-03,289,0,2
2016,34,950,3,2016-02-03,290,0,2
2016,34,951,4,2016-02-03,291,0,2
2016,34,952,5,2016-02-03,292,0,2
2016,34,953,6,2016-02-03,293,0,2
2016,34,955,8,2016-02-03,295,0,2
2016,35,956,1,2016-02-04,296,0,2
2016,35,957,2,2016-02-04,297,0,2
2016,35,958,3,2016-02-04,298,0,2
2016,35,959,4,2016-02-04,299,0,2
2016,35,960,5,2016-02-04,300,0,2
2016,35,961,6,2016-02-04,301,0,2
2016,35,962,7,2016-02-04,302,0,2
2016,35,963,8,2016-02-04,303,0,2
2016,35,964,9,2016-02-04,304,0,2
2016,36,965,1,2016-02-05,305,0,2
2016,36,966,2,2016-02-05,306,0,2
2016,36,967,3,2016-02-05,307,0,2
2016,36,968,4,2016-02-05,308,0,2
2016,36,969,5,2016-02-05,309,0,2
2016,36,970,6,2016-02-05,310,0,2
2016,36,971,7,2016-02-05,311,0,2
2016,36,972,8,2016-02-05,312,0,2
2016,36,973,9,2016-02-05,313,0,2
2016,37,974,1,2016-02-06,314,0,2
2016,37,975,2,2016-02-06,315,0,2
2016,37,976,3,2016-02-06,316,0,2
2016,37,977,4,2016-02-06,317,0,2
2016,37,978,5,2016-02-06,318,0,2
2016,40,980,2,2016-02-09,320,0,2
2016,40,981,3,2016-02-09,321,0,2
2016,41,982,1,2016-02-10,322,0,2
2016,41,983,2,2016-02-10,323,0,2
2016,41,984,3,2016-02-10,324,0,2
2016,41,985,4,2016-02-10,325,0,2
2016,41,986,5,2016-02-10,326,0,2
2016,41,987,6,2016-02-10,327,0,2
2016,41,988,7,2016-02-10,328,0,2
2016,41,989,8,2016-02-10,329,0,2
2016,41,990,9,2016-02-10,330,0,2
2016,42,991,1,2016-02-11,331,0,2
2016,42,992,2,2016-02-11,332,0,2
2016,42,993,3,2016-02-11,333,0,2
2016,42,994,4,2016-02-11,334,0,2
2016,42,995,5,2016-02-11,335,0,2
2016,42,996,6,2016-02-11,336,0,2
2016,42,997,7,2016-02-11,337,0,2
2016,42,998,8,2016-02-11,338,0,2
2016,42,999,9,2016-02-11,339,0,2
2016,43,1000,1,2016-02-12,340,0,2
2016,43,1001,2,2016-02-12,341,0,2
2016,43,1002,3,2016-02-12,342,0,2
2016,43,1003,4,2016-02-12,343,0,2
2016,43,1004,5,2016-02-12,344,0,2
2016,43,1005,6,2016-02-12,345,0,2
2016,43,1006,7,2016-02-12,346,0,2
2016,43,1007,8,2016-02-12,347,0,2
2016,43,1008,9,2016-02-12,348,0,2
2016,44,1009,1,2016-02-13,349,0,2
2016,44,1010,2,2016-02-13,350,0,2
2016,44,1011,3,2016-02-13,351,0,2
2016,44,1012,4,2016-02-13,352,0,2
2016,44,1013,5,2016-02-13,353,0,2
2016,44,1014,6,2016-02-13,354,0,2
2016,44,1015,7,2016-02-13,355,0,2
2016,44,1016,8,2016-02-13,356,0,2
2016,44,1017,9,2016-02-13,357,0,2
2016,45,1018,1,2016-02-14,358,0,2
2016,45,1019,2,2016-02-14,359,0,2
2016,45,1020,3,2016-02-14,360,0,2
2016,45,1021,4,2016-02-14,361,0,2
2016,45,1022,5,2016-02-14,362,0,2
2016,45,1023,6,2016-02-14,363,0,2
2016,45,1024,7,2016-02-14,364,0,2
2016,45,1025,8,2016-02-14,365,0,2
2016,45,1026,9,2016-02-14,366,0,2
2016,46,1027,1,2016-02-15,367,0,2
2016,46,1028,2,2016-02-15,368,0,2
2016,46,1029,3,2016-02-15,369,0,2
2016,46,1030,4,2016-02-15,370,0,2
2016,46,1031,5,2016-02-15,371,0,2
2016,46,1032,6,2016-02-15,372,0,2
2016,46,1033,7,2016-02-15,373,0,2
2016,46,1034,8,2016-02-15,374,0,2
2016,46,1035,9,2016-02-15,375,0,2
2016,47,1036,1,2016-02-16,376,0,2
2016,47,1037,2,2016-02-16,377,0,2
2016,47,1038,3,2016-02-16,378,0,2
2016,47,1039,4,2016-02-16,379,0,2
2016,47,1040,5,2016-02-16,380,0,2
2016,47,1041,6,2016-02-16,381,0,2
2016,47,1042,7,2016-02-16,382,0,2
2016,47,1043,8,2016-02-16,383,0,2
2016,47,1044,9,2016-02-16,384,0,2
2016,48,1045,1,2016-02-17,385,0,2
2016,48,1046,2,2016-02-17,386,0,2
2016,48,1047,3,2016-02-17,387,0,2
2016,48,1048,4,2016-02-17,388,0,2
2016,48,1049,5,2016-02-17,389,0,2
2016,48,1050,6,2016-02-17,390,0,2
2016,48,1051,7,2016-02-17,391,0,2
